#Point,X(min),Y(Counts)
836,0.279,5.94E-05
837,0.279,5.85E-05
838,0.28,6.00E-05
839,0.28,6.28E-05
840,0.28,6.33E-05
841,0.281,6.18E-05
842,0.281,5.95E-05
843,0.281,5.90E-05
844,0.282,5.91E-05
845,0.282,5.87E-05
846,0.282,5.97E-05
847,0.283,6.02E-05
848,0.283,6.03E-05
849,0.283,5.90E-05
850,0.284,5.60E-05
851,0.284,5.28E-05
852,0.284,5.18E-05
853,0.285,5.23E-05
854,0.285,5.43E-05
855,0.285,5.47E-05
856,0.286,5.49E-05
857,0.286,5.30E-05
858,0.286,5.22E-05
859,0.287,5.25E-05
860,0.287,5.43E-05
861,0.287,5.55E-05
862,0.288,5.55E-05
863,0.288,5.67E-05
864,0.288,5.88E-05
865,0.289,6.08E-05
866,0.289,5.87E-05
867,0.289,5.63E-05
868,0.29,5.48E-05
869,0.29,5.65E-05
870,0.29,5.72E-05
871,0.291,5.63E-05
872,0.291,5.82E-05
873,0.291,6.02E-05
874,0.292,6.17E-05
875,0.292,5.92E-05
876,0.292,5.42E-05
877,0.293,5.29E-05
878,0.293,5.39E-05
879,0.293,5.55E-05
880,0.294,5.55E-05
881,0.294,5.65E-05
882,0.294,5.90E-05
883,0.295,5.91E-05
884,0.295,5.59E-05
885,0.295,5.29E-05
886,0.296,5.10E-05
887,0.296,5.04E-05
888,0.296,5.01E-05
889,0.297,5.28E-05
890,0.297,5.60E-05
891,0.297,5.79E-05
892,0.298,5.70E-05
893,0.298,5.43E-05
894,0.298,5.26E-05
895,0.299,5.21E-05
896,0.299,5.28E-05
897,0.299,5.38E-05
898,0.3,5.53E-05
899,0.3,5.50E-05
900,0.3,5.43E-05
901,0.301,5.19E-05
902,0.301,4.98E-05
903,0.301,4.65E-05
904,0.302,4.55E-05
905,0.302,4.41E-05
906,0.302,4.43E-05
907,0.303,4.43E-05
908,0.303,4.70E-05
909,0.303,4.78E-05
910,0.304,4.74E-05
911,0.304,4.66E-05
912,0.304,4.89E-05
913,0.305,5.23E-05
914,0.305,5.55E-05
915,0.305,5.70E-05
916,0.306,5.69E-05
917,0.306,5.64E-05
918,0.306,5.58E-05
919,0.307,5.64E-05
920,0.307,5.81E-05
921,0.307,5.83E-05
922,0.308,5.68E-05
923,0.308,5.40E-05
924,0.308,5.36E-05
925,0.309,5.49E-05
926,0.309,5.46E-05
927,0.309,5.20E-05
928,0.31,4.92E-05
929,0.31,4.87E-05
930,0.31,4.88E-05
931,0.311,4.91E-05
932,0.311,4.91E-05
933,0.311,5.07E-05
934,0.312,5.53E-05
935,0.312,6.00E-05
936,0.312,6.25E-05
937,0.313,6.00E-05
938,0.313,5.46E-05
939,0.313,5.14E-05
940,0.314,5.09E-05
941,0.314,5.15E-05
942,0.314,5.21E-05
943,0.315,5.05E-05
944,0.315,4.96E-05
945,0.315,5.07E-05
946,0.316,5.33E-05
947,0.316,5.49E-05
948,0.316,5.43E-05
949,0.317,5.32E-05
950,0.317,5.27E-05
951,0.317,5.13E-05
952,0.318,5.10E-05
953,0.318,4.98E-05
954,0.318,4.95E-05
955,0.319,4.82E-05
956,0.319,4.88E-05
957,0.319,4.84E-05
958,0.32,4.81E-05
959,0.32,4.58E-05
960,0.32,4.49E-05
961,0.321,4.61E-05
962,0.321,4.96E-05
963,0.321,5.21E-05
964,0.322,5.13E-05
965,0.322,4.97E-05
966,0.322,5.00E-05
967,0.323,5.06E-05
968,0.323,5.07E-05
969,0.323,4.97E-05
970,0.324,4.85E-05
971,0.324,4.74E-05
972,0.324,4.49E-05
973,0.325,4.40E-05
974,0.325,4.38E-05
975,0.325,4.36E-05
976,0.326,4.45E-05
977,0.326,4.54E-05
978,0.326,4.70E-05
979,0.327,4.75E-05
980,0.327,4.87E-05
981,0.327,4.87E-05
982,0.328,4.83E-05
983,0.328,4.61E-05
984,0.328,4.53E-05
985,0.329,4.52E-05
986,0.329,4.71E-05
987,0.329,4.88E-05
988,0.33,4.87E-05
989,0.33,4.67E-05
990,0.33,4.68E-05
991,0.331,4.90E-05
992,0.331,5.23E-05
993,0.331,5.20E-05
994,0.332,5.11E-05
995,0.332,5.04E-05
996,0.332,5.24E-05
997,0.333,5.23E-05
998,0.333,4.82E-05
999,0.333,4.39E-05
1000,0.334,4.33E-05
1001,0.334,4.56E-05
1002,0.334,4.74E-05
1003,0.335,4.76E-05
1004,0.335,4.79E-05
1005,0.335,4.85E-05
1006,0.336,4.80E-05
1007,0.336,4.77E-05
1008,0.336,4.63E-05
1009,0.337,4.60E-05
1010,0.337,4.57E-05
1011,0.337,4.76E-05
1012,0.338,4.91E-05
1013,0.338,5.09E-05
1014,0.338,5.06E-05
1015,0.339,4.88E-05
1016,0.339,4.70E-05
1017,0.339,4.58E-05
1018,0.34,4.63E-05
1019,0.34,4.78E-05
1020,0.34,4.98E-05
1021,0.341,5.13E-05
1022,0.341,5.27E-05
1023,0.341,5.24E-05
1024,0.342,5.11E-05
1025,0.342,4.77E-05
1026,0.342,4.26E-05
1027,0.343,4.14E-05
1028,0.343,4.39E-05
1029,0.343,4.93E-05
1030,0.344,5.11E-05
1031,0.344,5.00E-05
1032,0.344,4.63E-05
1033,0.345,4.44E-05
1034,0.345,4.46E-05
1035,0.345,4.78E-05
1036,0.346,5.08E-05
1037,0.346,5.18E-05
1038,0.346,5.28E-05
1039,0.347,5.38E-05
1040,0.347,5.41E-05
1041,0.347,5.27E-05
1042,0.348,5.12E-05
1043,0.348,5.02E-05
1044,0.348,4.94E-05
1045,0.349,4.75E-05
1046,0.349,4.68E-05
1047,0.349,4.75E-05
1048,0.35,4.87E-05
1049,0.35,4.90E-05
1050,0.35,4.83E-05
1051,0.351,4.66E-05
1052,0.351,4.42E-05
1053,0.351,4.33E-05
1054,0.352,4.33E-05
1055,0.352,4.31E-05
1056,0.352,4.16E-05
1057,0.353,4.09E-05
1058,0.353,4.25E-05
1059,0.353,4.41E-05
1060,0.354,4.61E-05
1061,0.354,4.70E-05
1062,0.354,4.61E-05
1063,0.355,4.44E-05
1064,0.355,4.29E-05
1065,0.355,4.41E-05
1066,0.356,4.54E-05
