#Point,X(min),Y(Counts)
750,0.25,4.99E-05
751,0.251,5.24E-05
752,0.251,5.20E-05
753,0.251,5.15E-05
754,0.252,5.29E-05
755,0.252,5.55E-05
756,0.252,5.97E-05
757,0.253,6.13E-05
758,0.253,5.95E-05
759,0.253,5.43E-05
760,0.254,4.90E-05
761,0.254,4.74E-05
762,0.254,4.59E-05
763,0.255,4.58E-05
764,0.255,4.42E-05
765,0.255,4.37E-05
766,0.256,4.44E-05
767,0.256,4.79E-05
768,0.256,5.10E-05
769,0.257,5.06E-05
770,0.257,4.85E-05
771,0.257,4.70E-05
772,0.258,4.62E-05
773,0.258,4.67E-05
774,0.258,4.63E-05
775,0.259,4.48E-05
776,0.259,4.08E-05
777,0.259,3.76E-05
778,0.26,3.70E-05
779,0.26,3.94E-05
780,0.26,4.24E-05
781,0.261,4.64E-05
782,0.261,4.77E-05
783,0.261,4.67E-05
784,0.262,4.32E-05
785,0.262,4.10E-05
786,0.262,3.91E-05
787,0.263,3.88E-05
788,0.263,3.96E-05
789,0.263,4.18E-05
790,0.264,4.48E-05
791,0.264,4.75E-05
792,0.264,4.79E-05
793,0.265,4.43E-05
794,0.265,4.03E-05
795,0.265,4.00E-05
796,0.266,4.23E-05
797,0.266,4.39E-05
798,0.266,4.66E-05
799,0.267,4.93E-05
800,0.267,5.11E-05
801,0.267,4.87E-05
802,0.268,4.59E-05
803,0.268,4.54E-05
804,0.268,4.54E-05
805,0.269,4.62E-05
806,0.269,4.65E-05
807,0.269,4.81E-05
808,0.27,4.91E-05
809,0.27,4.92E-05
810,0.27,4.71E-05
811,0.271,4.59E-05
812,0.271,4.49E-05
813,0.271,4.62E-05
814,0.272,4.78E-05
815,0.272,4.71E-05
816,0.272,4.53E-05
817,0.273,4.32E-05
818,0.273,3.90E-05
819,0.273,3.54E-05
820,0.274,3.29E-05
821,0.274,3.52E-05
822,0.274,3.90E-05
823,0.275,4.10E-05
824,0.275,4.26E-05
825,0.275,4.34E-05
826,0.276,4.43E-05
827,0.276,4.39E-05
828,0.276,4.29E-05
829,0.277,4.10E-05
830,0.277,4.07E-05
831,0.277,4.01E-05
832,0.278,4.07E-05
833,0.278,4.33E-05
834,0.278,4.58E-05
835,0.279,4.89E-05
836,0.279,4.87E-05
837,0.279,4.72E-05
838,0.28,4.20E-05
839,0.28,4.02E-05
840,0.28,4.22E-05
841,0.281,4.70E-05
842,0.281,5.07E-05
843,0.281,5.07E-05
844,0.282,4.85E-05
845,0.282,4.49E-05
846,0.282,4.29E-05
847,0.283,4.24E-05
848,0.283,4.33E-05
849,0.283,4.43E-05
850,0.284,4.37E-05
851,0.284,4.19E-05
852,0.284,4.11E-05
853,0.285,4.12E-05
854,0.285,4.17E-05
855,0.285,4.05E-05
856,0.286,4.11E-05
857,0.286,4.18E-05
858,0.286,4.46E-05
859,0.287,4.61E-05
860,0.287,4.52E-05
861,0.287,4.33E-05
862,0.288,4.15E-05
863,0.288,4.13E-05
864,0.288,4.48E-05
865,0.289,4.98E-05
866,0.289,5.41E-05
867,0.289,5.19E-05
868,0.29,4.86E-05
869,0.29,4.61E-05
870,0.29,4.61E-05
871,0.291,4.63E-05
872,0.291,4.61E-05
873,0.291,4.58E-05
874,0.292,4.56E-05
875,0.292,4.68E-05
876,0.292,4.78E-05
877,0.293,4.55E-05
878,0.293,4.28E-05
879,0.293,4.08E-05
880,0.294,4.28E-05
881,0.294,4.36E-05
882,0.294,4.30E-05
883,0.295,4.18E-05
884,0.295,4.20E-05
885,0.295,4.23E-05
886,0.296,4.25E-05
887,0.296,4.15E-05
888,0.296,4.24E-05
889,0.297,4.25E-05
890,0.297,4.30E-05
891,0.297,4.19E-05
892,0.298,4.22E-05
893,0.298,4.22E-05
894,0.298,4.01E-05
895,0.299,3.81E-05
896,0.299,3.76E-05
897,0.299,4.04E-05
898,0.3,4.14E-05
899,0.3,4.03E-05
900,0.3,3.87E-05
901,0.301,3.79E-05
902,0.301,3.69E-05
903,0.301,3.54E-05
904,0.302,3.47E-05
905,0.302,3.54E-05
906,0.302,3.58E-05
907,0.303,3.64E-05
908,0.303,3.89E-05
909,0.303,4.12E-05
910,0.304,4.13E-05
911,0.304,4.10E-05
912,0.304,4.26E-05
913,0.305,4.41E-05
914,0.305,4.43E-05
915,0.305,4.35E-05
916,0.306,4.49E-05
917,0.306,4.68E-05
918,0.306,4.81E-05
919,0.307,4.69E-05
920,0.307,4.40E-05
921,0.307,4.05E-05
922,0.308,3.83E-05
923,0.308,3.85E-05
924,0.308,3.83E-05
925,0.309,3.86E-05
926,0.309,3.97E-05
927,0.309,4.23E-05
928,0.31,4.59E-05
929,0.31,4.65E-05
930,0.31,4.56E-05
931,0.311,4.28E-05
932,0.311,4.21E-05
933,0.311,4.05E-05
934,0.312,3.94E-05
935,0.312,3.86E-05
936,0.312,4.11E-05
937,0.313,4.69E-05
938,0.313,4.98E-05
939,0.313,5.11E-05
940,0.314,4.69E-05
941,0.314,4.48E-05
942,0.314,4.34E-05
943,0.315,4.19E-05
944,0.315,4.17E-05
945,0.315,4.16E-05
946,0.316,4.37E-05
947,0.316,4.52E-05
948,0.316,4.65E-05
949,0.317,4.68E-05
950,0.317,4.58E-05
951,0.317,4.27E-05
952,0.318,4.14E-05
953,0.318,4.16E-05
954,0.318,4.31E-05
955,0.319,4.25E-05
956,0.319,4.10E-05
957,0.319,3.96E-05
958,0.32,4.05E-05
959,0.32,4.18E-05
960,0.32,4.25E-05
961,0.321,4.33E-05
962,0.321,4.30E-05
963,0.321,4.27E-05
964,0.322,4.01E-05
965,0.322,3.90E-05
966,0.322,4.00E-05
967,0.323,4.20E-05
968,0.323,4.48E-05
969,0.323,4.49E-05
970,0.324,4.29E-05
971,0.324,4.05E-05
972,0.324,3.94E-05
973,0.325,4.10E-05
974,0.325,4.27E-05
975,0.325,4.51E-05
976,0.326,4.47E-05
977,0.326,4.13E-05
978,0.326,3.99E-05
979,0.327,4.03E-05
980,0.327,4.37E-05
981,0.327,4.25E-05
982,0.328,4.00E-05
983,0.328,3.76E-05
984,0.328,3.84E-05
985,0.329,3.96E-05
986,0.329,4.02E-05
987,0.329,3.76E-05
988,0.33,3.56E-05
989,0.33,3.49E-05
990,0.33,3.48E-05
991,0.331,3.56E-05
992,0.331,3.46E-05
993,0.331,3.54E-05
994,0.332,3.62E-05
995,0.332,3.59E-05
996,0.332,3.50E-05
997,0.333,3.41E-05
998,0.333,3.53E-05
999,0.333,3.82E-05
1000,0.334,3.98E-05
1001,0.334,4.00E-05
1002,0.334,3.86E-05
1003,0.335,3.94E-05
1004,0.335,4.05E-05
1005,0.335,4.03E-05
1006,0.336,3.88E-05
1007,0.336,3.56E-05
1008,0.336,3.28E-05
1009,0.337,3.17E-05
1010,0.337,3.47E-05
1011,0.337,3.94E-05
1012,0.338,4.25E-05
1013,0.338,4.06E-05
1014,0.338,3.71E-05
1015,0.339,3.61E-05
1016,0.339,3.75E-05
1017,0.339,3.68E-05
1018,0.34,3.30E-05
1019,0.34,3.19E-05
1020,0.34,3.33E-05
1021,0.341,3.66E-05
1022,0.341,3.81E-05
1023,0.341,3.80E-05
1024,0.342,3.71E-05
1025,0.342,3.70E-05
1026,0.342,3.81E-05
1027,0.343,3.80E-05
1028,0.343,3.94E-05
1029,0.343,4.16E-05
1030,0.344,4.35E-05
1031,0.344,4.35E-05
1032,0.344,4.11E-05
1033,0.345,4.04E-05
1034,0.345,3.80E-05
1035,0.345,3.69E-05
1036,0.346,3.59E-05
1037,0.346,3.60E-05
1038,0.346,3.83E-05
1039,0.347,4.06E-05
1040,0.347,4.30E-05
1041,0.347,4.32E-05
1042,0.348,4.22E-05
1043,0.348,4.00E-05
1044,0.348,3.74E-05
1045,0.349,3.35E-05
1046,0.349,2.92E-05
1047,0.349,2.76E-05
1048,0.35,3.01E-05
1049,0.35,3.30E-05
1050,0.35,3.48E-05
1051,0.351,3.30E-05
1052,0.351,3.15E-05
1053,0.351,3.12E-05
1054,0.352,3.29E-05
1055,0.352,3.52E-05
1056,0.352,3.63E-05
1057,0.353,3.67E-05
1058,0.353,3.56E-05
1059,0.353,3.25E-05
1060,0.354,3.07E-05
1061,0.354,3.09E-05
1062,0.354,3.17E-05
1063,0.355,3.18E-05
